seq,ts_us,s0,s1,s2,s3,s4,s5
128,71898253,0,0,0,536,0,0
129,71908253,0,0,0,535,0,0
130,71918253,0,0,0,534,0,0
131,71928253,0,0,0,534,0,0
132,71938253,0,0,0,536,0,0
133,71948253,0,0,0,532,0,0
134,71958253,0,0,0,537,0,0
135,71968253,0,0,0,537,0,0
136,71978253,1,0,0,535,0,0
137,71988253,0,0,0,537,0,0
138,71998253,0,0,0,536,0,0
139,72008253,0,0,0,533,0,0
140,72018253,0,0,0,533,0,0
141,72028253,0,0,0,531,0,0
142,72038253,0,0,0,532,0,0
143,72048253,0,0,0,531,0,0
144,72058253,0,0,0,534,0,0
145,72068253,0,0,0,532,0,0
146,72078253,0,0,0,537,0,0
147,72088253,0,0,0,536,0,0
148,72098253,0,0,0,535,0,0
149,72108253,0,0,0,534,0,0
150,72118253,0,0,0,534,0,0
151,72128253,0,0,0,532,0,0
152,72138253,0,0,0,530,0,0
153,72148253,0,0,0,533,0,0
154,72158253,0,0,0,536,0,0
155,72168253,0,0,0,536,0,0
156,72178253,0,0,0,534,0,0
157,72188253,0,0,0,533,0,0
158,72198253,0,0,0,535,0,0
159,72208253,0,0,0,535,0,0
160,72218253,0,0,0,527,0,0
161,72228253,0,0,0,532,0,0
162,72238253,0,0,0,533,0,0
163,72248253,0,0,0,533,0,0
164,72258253,0,0,0,533,0,0
165,72268253,0,0,0,531,0,0
166,72278253,0,0,0,534,0,0
167,72288253,0,0,0,534,0,0
168,72298253,0,0,0,534,0,0
169,72308253,0,0,0,534,0,0
170,72318253,0,0,0,533,0,0
171,72328253,0,0,0,529,0,0
172,72338253,0,0,0,527,0,0
173,72348253,0,0,0,531,0,0
174,72358253,0,0,0,530,0,0
175,72368253,0,0,0,530,0,0
176,72378253,0,0,0,533,0,0
177,72388253,0,0,0,538,0,0
178,72398253,0,0,0,534,0,0
179,72408253,0,0,0,518,0,0
180,72418253,0,0,0,533,0,0
181,72428253,0,0,0,540,0,0
182,72438253,0,0,0,529,0,0
183,72448253,0,0,0,529,0,0
184,72458253,0,0,0,531,0,0
185,72468253,0,0,0,532,0,0
186,72478253,0,0,0,533,0,0
187,72488253,0,0,0,533,0,0
188,72498253,0,0,0,532,0,0
189,72508253,0,2,0,535,0,0
190,72518253,0,0,0,535,0,0
191,72528253,0,0,0,531,0,0
192,72538253,0,0,0,531,0,0
193,72548253,0,0,0,531,0,0
194,72558253,0,0,0,530,0,0
195,72568253,0,0,0,532,0,0
196,72578253,0,0,0,531,0,0
197,72588253,0,0,0,533,0,0
198,72598253,0,0,0,532,0,0
199,72608253,0,0,0,532,1,0
200,72618253,0,0,0,533,0,0
201,72628253,0,0,0,534,0,0
202,72638253,0,0,0,534,0,0
203,72648253,0,0,0,534,0,0
204,72658253,0,0,0,532,0,0
205,72668253,0,0,0,533,0,0
206,72678253,0,0,0,533,0,0
207,72688253,0,0,0,534,0,0
208,72698253,0,0,0,535,0,0
209,72708253,0,0,0,529,0,0
210,72718253,0,0,0,533,0,0
211,72728253,0,0,0,534,0,0
212,72738253,0,0,0,530,0,0
213,72748253,0,0,0,533,0,0
214,72758253,0,0,0,532,0,0
215,72768253,0,0,0,533,0,0
216,72778253,0,0,0,534,0,0
217,72788253,0,0,0,533,0,0
218,72798253,0,0,0,531,0,0
219,72808253,0,0,0,532,0,0
220,72818253,0,0,0,533,0,0
221,72828253,0,0,0,532,0,0
222,72838253,0,0,0,533,0,0
223,72848253,0,0,0,530,0,0
224,72858253,0,0,0,533,0,0
225,72868253,0,0,0,532,0,0
226,72878253,0,0,0,533,0,0
227,72888253,0,0,0,532,0,0
228,72898253,0,0,0,529,0,0
229,72908253,0,0,0,528,0,0
230,72918253,0,0,0,529,0,0
231,72928253,0,0,0,533,0,0
232,72938253,0,0,0,531,0,0
233,72948253,0,0,0,531,0,0
234,72958253,0,0,0,530,0,0
235,72968253,0,0,0,531,0,0
236,72978253,0,0,0,533,0,0
237,72988253,0,0,0,532,0,0
238,72998253,0,0,2,533,0,0
239,73008253,0,0,0,532,0,0
240,73018253,0,0,0,532,0,0
241,73028253,0,0,0,532,0,0
242,73038253,0,0,0,532,0,0
243,73048253,0,0,0,520,0,0
244,73058253,0,0,0,534,0,0
245,73068253,0,0,0,533,0,0
246,73078253,0,0,0,533,0,0
247,73088253,0,0,0,533,0,0
248,73098253,0,0,0,532,0,0
249,73108253,0,0,0,535,0,0
250,73118254,0,0,0,532,0,0
251,73128253,0,0,0,532,0,0
252,73138253,0,0,0,532,0,0
253,73148253,0,0,0,532,0,0
254,73158253,0,0,0,532,0,0
255,73168253,0,0,0,532,0,0
256,73178253,0,0,0,534,0,0
257,73188253,0,0,0,529,0,0
258,73198253,0,0,0,529,0,0
259,73208253,0,0,0,529,0,0
260,73218253,0,0,0,525,0,0
261,73228253,0,0,0,528,0,0
262,73238253,0,0,0,526,0,0
263,73248253,0,0,0,487,0,0
264,73258253,0,0,0,530,0,0
265,73268253,0,0,0,532,0,0
266,73278253,0,0,0,533,0,0
267,73288253,0,0,0,532,0,0
268,73298253,0,0,0,532,0,0
269,73308253,0,0,0,533,0,0
270,73318253,0,0,0,534,0,0
271,73328253,0,0,0,533,0,0
272,73338253,0,0,0,534,0,0
273,73348253,0,0,0,535,0,0
274,73358253,0,0,0,533,0,0
275,73368253,0,0,0,534,0,0
276,73378253,0,0,0,534,0,0
277,73388253,0,0,0,535,0,0
278,73398253,0,0,0,535,0,0
279,73408253,0,0,0,535,0,0
280,73418253,0,0,0,537,0,0
281,73428253,0,0,0,536,0,0
282,73438253,0,0,0,541,0,0
283,73448253,0,0,0,535,0,0
284,73458253,0,0,0,535,0,0
285,73468253,0,0,0,542,0,0
286,73478253,0,0,0,537,0,0
287,73488253,0,0,0,538,0,0
288,73498253,0,0,0,536,0,0
289,73508253,0,0,0,506,0,0
290,73518253,0,0,0,536,0,0
291,73528253,0,0,0,536,0,0
292,73538253,0,0,0,533,0,0
293,73548253,0,0,0,533,0,0
294,73558253,0,0,0,532,0,0
295,73568253,0,0,0,531,0,0
296,73578253,0,0,0,534,0,0
297,73588253,0,0,0,534,0,0
298,73598253,0,0,0,532,0,0
299,73608253,0,0,0,535,0,0
300,73618253,2,0,0,536,0,0
301,73628253,0,0,0,535,0,0
302,73638253,0,0,0,529,0,0
303,73648253,0,0,0,532,0,0
304,73658253,0,0,0,535,0,0
305,73668253,0,0,0,534,0,0
306,73678253,0,0,0,534,0,0
307,73688253,0,0,0,533,0,0
308,73698253,0,0,0,534,0,0
