seq,ts_us,s0,s1,s2,s3,s4,s5
2434,24927632,0,199,0,6,0,0
2435,24937632,75,403,0,8,0,0
2436,24947632,222,546,0,1,0,0
2437,24957632,371,665,0,0,0,0
2438,24967632,457,716,0,0,0,0
2439,24977632,521,747,0,0,0,0
2440,24987633,550,789,0,0,0,0
2441,24997632,636,817,0,0,0,0
2442,25007632,684,845,0,0,0,0
2443,25017632,723,860,0,0,0,0
2444,25027632,742,877,0,0,0,0
2445,25037632,768,887,0,0,0,0
2446,25047632,779,906,0,0,0,0
2447,25057632,812,915,0,0,0,0
2448,25067632,847,937,0,0,0,0
2449,25077632,898,963,0,0,0,0
2450,25087632,952,1014,0,0,0,0
2451,25097632,1022,1058,0,1,0,0
2452,25107632,1080,1111,0,5,0,0
2453,25117632,1139,1144,42,32,0,0
2454,25127632,1179,1183,65,54,0,0
2455,25137632,1214,1209,109,76,0,0
2456,25147632,1235,1246,153,96,0,0
2457,25157632,1255,1264,204,122,0,0
2458,25167632,1273,1296,238,153,0,0
2459,25177632,1295,1308,282,173,0,0
2460,25187632,1309,1335,313,203,0,0
2461,25197632,1326,1358,347,224,0,0
2462,25207632,1347,1376,381,246,0,0
2463,25217632,1361,1385,409,261,0,0
2464,25227632,1370,1403,439,285,0,0
2465,25237632,1376,1411,463,296,0,0
2466,25247632,1383,1424,489,314,0,0
2467,25257632,1391,1428,512,331,0,0
2468,25267632,1383,1440,542,362,0,0
2469,25277632,1385,1447,568,391,0,0
2470,25287632,1259,1389,609,433,0,0
2471,25297632,1386,1436,659,461,0,0
2472,25307633,1378,1436,689,508,0,5
2473,25317632,1367,1432,734,553,0,30
2474,25327632,1227,1368,772,592,0,58
2475,25337632,1334,1417,810,637,0,85
2476,25347633,1313,1412,844,680,0,114
2477,25357632,1284,1404,865,714,0,145
2478,25367632,1261,1392,893,743,0,168
2479,25377632,1237,1375,924,767,0,182
2480,25387632,1206,1369,940,803,0,198
2481,25397632,1172,1356,962,813,0,209
2482,25407632,1132,1349,983,844,0,222
2483,25417632,1099,1335,994,855,0,229
2484,25427632,1067,1326,1009,879,0,234
2485,25437632,1032,1319,1016,899,0,238
2486,25447632,1001,1307,1038,912,0,241
2487,25457632,981,1296,1050,915,0,249
2488,25467632,958,1291,1053,929,0,266
2489,25477632,955,1282,1061,932,0,278
2490,25487632,948,1274,1059,941,0,283
2491,25497632,945,1274,1052,950,0,295
2492,25507632,957,1266,1058,949,0,309
2493,25517632,966,1259,1062,948,0,321
2494,25527633,965,1262,1058,959,0,329
2495,25537632,954,1262,1059,967,0,334
2496,25547632,949,1255,1064,970,0,334
2497,25557632,942,1251,1067,980,0,341
2498,25567632,930,1238,1073,981,0,341
2499,25577632,911,1223,1079,987,0,356
2500,25587632,896,1211,1083,996,0,372
2501,25597632,878,1194,1074,1004,0,404
2502,25607632,882,1174,1069,1001,0,427
2503,25617632,897,1157,1052,986,0,452
2504,25627632,922,1154,1024,980,0,489
2505,25637632,948,1145,1006,967,3,510
2506,25647632,974,1142,982,960,17,531
2507,25657632,975,1140,959,951,29,565
2508,25667632,979,1124,952,941,54,572
2509,25677632,979,1115,941,939,84,592
2510,25687632,953,1101,0,942,115,625
2511,25697632,931,1075,730,940,147,654
2512,25707632,890,1053,891,951,197,667
2513,25717632,852,1036,927,959,241,695
2514,25727632,820,999,939,957,310,716
2515,25737632,762,965,943,967,356,738
2516,25747633,707,928,949,980,407,754
2517,25757632,623,885,951,993,452,768
2518,25767632,550,849,959,1007,505,791
2519,25777632,451,804,965,1019,555,810
2520,25787632,362,751,967,1031,615,837
2521,25797632,245,688,963,1052,663,866
2522,25807633,153,622,974,1060,714,883
2523,25817632,58,565,973,1072,751,914
2524,25827632,0,508,972,1089,788,947
2525,25837632,0,442,978,1102,818,977
2526,25847632,0,364,990,1108,863,999
2527,25857632,0,279,985,1130,876,1039
2528,25867633,0,166,993,1136,912,1062
2529,25877632,0,59,981,1138,933,1086
2530,25887632,0,0,956,1146,938,1105
2531,25897632,0,0,902,1135,939,1118
2532,25907632,0,0,808,1124,924,1129
2533,25917632,0,0,703,1096,875,1150
2534,25927632,0,0,656,1060,798,1186
2535,25937632,0,0,588,983,677,1217
2536,25947632,0,0,487,913,531,1248
2537,25957632,0,0,417,828,409,1262
2538,25967632,0,0,374,750,251,1274
2539,25977632,0,0,354,681,83,1252
2540,25987632,0,0,307,619,0,1260
2541,25997632,0,0,279,551,0,1207
2542,26007633,0,0,241,487,0,1158
2543,26017632,0,0,207,421,0,1097
2544,26027633,0,0,175,367,0,1038
2545,26037632,0,0,151,288,0,932
2546,26047632,0,0,107,232,0,803
2547,26057632,0,0,80,169,0,623
2548,26067633,0,0,57,121,0,413
2549,26077632,0,0,26,68,0,178
2550,26087632,0,0,2,26,0,2
2551,26097632,0,0,0,1,0,0
2552,26107632,0,0,0,0,0,5
2553,26117632,0,0,0,0,0,16
2554,26127632,0,0,0,0,0,14
2555,26137632,0,0,0,0,0,0
2556,26147632,0,0,0,0,0,0
2557,26157632,0,0,0,0,0,0
2558,26167633,0,0,0,0,0,0
2559,26177632,0,0,0,0,0,0
2560,26187632,0,0,0,0,0,0
2561,26197632,0,0,0,0,0,0
2562,26207632,0,0,0,0,0,0
2563,26217632,0,0,0,0,0,0
2564,26227632,0,0,0,0,0,0
2565,26237632,0,0,0,0,0,0
2566,26247632,0,0,0,3,0,0
2567,26257632,0,0,0,5,0,0
2568,26267632,0,0,0,8,0,0
2569,26277632,0,0,0,7,0,0
2570,26287632,0,0,0,4,0,0
2571,26297632,0,0,0,5,0,0
2572,26307632,0,0,0,6,0,0
2573,26317632,0,0,0,4,0,2
2574,26327632,0,0,0,10,0,3
2575,26337632,0,0,0,10,0,6
2576,26347632,0,0,0,10,0,14
2577,26357632,0,0,0,6,0,24
2578,26367632,0,0,0,5,0,19
2579,26377632,0,0,0,4,0,5
2580,26387632,0,0,0,1,0,0
2581,26397632,0,0,0,0,0,0
2582,26407632,0,0,0,0,0,0
2583,26417632,0,0,0,0,0,0
2584,26427632,0,0,0,0,0,0
2585,26437632,0,0,0,0,0,0
2586,26447632,0,0,0,0,0,0
2587,26457632,0,0,0,0,0,0
2588,26467632,0,0,0,0,0,0
2589,26477632,0,0,0,1,0,0
2590,26487632,0,0,0,0,0,0
2591,26497633,0,0,0,0,0,0
2592,26507632,0,0,0,0,0,0
2593,26517632,0,0,0,1,0,0
2594,26527632,0,0,0,2,0,0
2595,26537632,0,0,0,3,0,0
2596,26547632,0,0,0,1,0,0
2597,26557632,0,0,0,1,0,0
2598,26567632,0,6,0,0,0,0
2599,26577632,0,132,0,0,0,0
2600,26587632,49,305,0,0,0,0
2601,26597632,279,598,0,0,0,0
2602,26607632,489,717,0,0,0,0
2603,26617632,590,790,0,0,0,0
2604,26627632,683,855,0,0,0,0
2605,26637632,796,919,1,0,0,0
2606,26647632,877,975,2,0,0,0
2607,26657632,945,998,14,0,0,0
2608,26667632,985,1008,27,4,0,0
2609,26677632,979,919,19,11,0,0
2610,26687632,1023,1058,137,102,0,0
2611,26697632,1066,1082,193,142,0,0
2612,26707632,1077,1083,204,153,0,6
