seq,ts_us,s0,s1,s2,s3,s4,s5
144,136612195,0,0,0,0,0,0
145,136622195,0,0,0,0,0,0
146,136632195,0,0,0,0,0,0
147,136642195,0,0,0,0,0,0
148,136652195,0,0,0,0,0,0
149,136662195,0,0,0,0,0,0
150,136672195,0,1,0,0,0,0
151,136682195,0,0,0,0,2,0
152,136692195,0,0,0,0,0,0
153,136702195,0,0,0,0,0,0
154,136712195,0,0,0,0,0,0
155,136722195,0,0,0,0,0,0
156,136732195,0,0,0,0,0,0
157,136742195,0,0,0,0,0,0
158,136752195,0,0,0,0,0,0
159,136762195,0,0,0,0,0,0
160,136772195,0,0,0,0,0,0
161,136782195,0,0,0,0,0,0
162,136792195,0,0,0,0,0,0
163,136802195,0,0,0,0,0,0
164,136812195,0,0,0,0,0,0
165,136822195,0,1193,0,0,0,0
166,136832195,0,936,0,0,0,0
167,136842195,0,603,0,0,0,0
168,136852195,1,183,0,0,0,0
169,136862195,0,0,0,0,0,0
170,136872195,0,0,0,0,0,0
171,136882195,0,0,0,0,0,0
172,136892195,0,0,0,0,0,0
173,136902195,0,0,0,0,0,0
174,136912195,0,0,0,0,0,0
175,136922195,0,0,0,0,0,0
176,136932195,0,0,0,0,5,0
177,136942195,0,0,0,0,0,0
178,136952195,1,0,0,0,0,0
179,136962195,0,2,0,0,0,0
180,136972195,0,0,0,0,0,0
181,136982195,0,0,0,0,0,0
182,136992195,0,0,0,0,0,0
183,137002195,0,0,0,0,0,0
184,137012195,0,0,0,0,0,0
185,137022195,0,0,0,0,0,0
186,137032195,0,0,0,0,0,0
187,137042195,0,0,0,0,0,0
188,137052195,0,0,0,0,0,0
189,137062195,0,0,0,0,0,0
190,137072195,0,0,0,0,0,0
191,137082195,0,0,0,0,0,0
192,137092195,0,0,0,0,0,0
193,137102195,0,0,0,0,0,0
194,137112195,0,0,0,0,0,0
195,137122195,0,0,0,0,0,0
196,137132195,0,0,0,0,0,0
197,137142195,0,0,0,0,0,0
198,137152195,0,0,0,0,0,0
199,137162195,0,0,0,0,0,0
200,137172195,0,0,0,0,0,0
201,137182195,0,0,0,0,0,0
202,137192195,56,0,0,0,0,0
203,137202195,125,0,0,0,0,0
204,137212195,169,0,0,0,0,0
205,137222195,165,0,0,0,0,0
206,137232195,246,0,0,0,0,0
207,137242195,298,0,0,0,0,1
208,137252195,352,0,0,0,0,0
209,137262195,399,0,0,0,2,0
210,137272195,447,0,0,0,0,0
211,137282195,469,0,0,0,0,0
212,137292195,557,0,0,0,0,0
213,137302195,618,0,0,0,0,0
