seq,ts_us,s0,s1,s2,s3,s4,s5
147,151224628,0,0,0,0,0,1611
148,151234628,0,0,0,0,0,1614
149,151244628,0,0,0,0,0,1615
150,151254628,0,0,0,0,0,1615
151,151264628,0,0,0,0,0,1613
152,151274628,0,0,0,0,0,1615
153,151284628,0,0,0,0,0,1621
154,151294628,0,0,0,0,0,1621
155,151304628,0,0,0,0,0,1624
156,151314628,0,0,0,0,0,1625
157,151324628,0,0,0,0,0,1623
158,151334628,0,0,0,0,0,1619
159,151344628,0,0,0,0,0,1617
160,151354628,0,0,0,0,0,1625
161,151364628,0,0,0,0,0,1628
162,151374628,0,0,0,0,0,1622
163,151384628,0,0,0,0,0,1628
164,151394628,0,0,0,0,0,1630
165,151404628,0,0,0,0,0,1640
166,151414628,0,0,0,0,0,1634
167,151424628,0,0,0,0,0,1629
168,151434628,0,0,0,0,0,1630
169,151444628,0,0,0,0,0,1630
170,151454628,0,0,0,0,0,1633
171,151464628,0,0,0,0,0,1635
172,151474628,0,0,0,0,0,1640
173,151484628,0,0,0,0,0,1640
174,151494628,0,0,0,0,0,1648
175,151504628,0,0,0,0,0,1643
176,151514628,0,0,0,0,0,1641
177,151524628,0,0,0,0,0,1648
178,151534628,0,0,0,0,0,1638
179,151544628,0,0,0,0,0,1644
180,151554628,0,0,0,0,0,1637
181,151564628,0,0,0,0,0,1533
182,151574628,0,0,0,0,0,1644
183,151584628,1,0,0,0,0,1643
184,151594628,0,0,0,0,0,1646
185,151604628,0,0,0,0,0,1642
186,151614628,0,0,0,0,0,1645
187,151624628,0,0,0,0,0,1644
188,151634628,0,0,0,0,0,1646
189,151644628,0,0,0,0,0,1646
190,151654628,0,0,0,0,0,1649
191,151664628,0,0,0,0,0,1646
192,151674628,0,0,0,0,0,1647
193,151684628,0,0,0,0,0,1643
194,151694628,0,0,0,0,0,1640
195,151704628,0,0,0,0,0,1646
196,151714628,0,0,0,0,0,1650
197,151724628,0,0,0,0,0,1656
198,151734628,0,0,0,0,0,1661
199,151744628,0,0,0,0,0,1656
200,151754628,0,0,0,0,0,1653
201,151764628,0,0,0,0,0,1652
202,151774628,0,0,0,0,0,1652
203,151784628,0,0,0,0,0,1651
204,151794628,0,0,0,0,0,1657
205,151804628,2,0,0,0,0,1659
206,151814628,3,0,0,0,0,1658
207,151824628,0,0,0,0,0,1656
208,151834628,0,0,0,0,0,1658
209,151844628,0,0,0,0,0,1660
210,151854628,0,0,0,0,0,1654
211,151864628,0,0,0,0,0,1652
212,151874628,0,0,0,0,0,1655
213,151884628,0,0,0,0,0,1654
214,151894628,0,0,0,0,0,1656
215,151904628,0,0,0,0,0,1658
216,151914628,0,0,0,0,0,1658
217,151924628,0,0,0,0,0,1657
218,151934628,0,0,0,0,0,1656
219,151944628,0,0,0,0,0,1654
220,151954628,0,0,0,0,0,1653
221,151964628,0,0,0,0,0,1656
222,151974628,0,0,0,0,0,1656
223,151984628,0,0,0,0,4,1656
224,151994628,0,0,0,0,0,1655
225,152004628,0,0,0,0,0,1656
226,152014628,0,0,0,0,0,1655
227,152024628,0,0,0,0,0,1544
228,152034628,0,0,0,0,0,1653
229,152044628,0,0,0,0,0,1654
230,152054628,0,0,0,0,0,1652
231,152064628,0,0,0,0,0,1650
232,152074628,0,0,0,0,0,1649
233,152084628,0,0,0,0,0,1648
234,152094628,0,0,0,0,0,1648
235,152104628,0,0,0,0,0,1648
236,152114628,0,0,0,0,0,1650
237,152124628,0,0,0,0,0,1650
238,152134628,0,0,0,0,0,1647
239,152144628,0,0,0,0,0,1648
240,152154628,0,0,0,0,0,1647
241,152164628,0,0,0,0,0,1648
242,152174628,0,0,0,0,0,1646
243,152184628,0,0,0,0,0,1644
244,152194628,0,0,0,0,0,1643
245,152204628,0,0,0,0,0,1644
246,152214628,0,0,0,0,0,1646
247,152224628,0,0,0,0,0,1647
248,152234628,0,0,0,0,0,1647
249,152244628,0,0,0,0,0,1646
250,152254628,0,0,0,0,0,1645
251,152264628,0,0,0,0,0,1645
252,152274628,0,0,0,0,0,1644
253,152284628,0,0,0,0,0,1647
254,152294628,0,0,0,0,0,1649
255,152304628,0,0,0,0,0,1649
256,152314628,0,0,0,0,0,1649
257,152324628,0,0,0,0,0,1651
258,152334628,0,0,0,0,0,1659
259,152344628,0,0,0,0,0,1646
260,152354628,0,0,1,0,0,1645
261,152364628,0,0,0,0,0,1648
262,152374628,0,0,0,0,0,1646
263,152384628,0,0,0,0,0,1651
264,152394628,0,0,0,0,0,1651
265,152404628,0,0,0,0,0,1646
266,152414628,0,0,0,0,0,1650
267,152424628,0,0,0,0,0,1651
268,152434628,0,0,0,0,0,1650
269,152444628,0,0,0,0,0,1644
270,152454628,0,0,0,0,0,1654
271,152464628,0,0,0,0,0,1653
272,152474628,0,0,0,0,0,1652
273,152484628,0,0,0,0,0,1653
274,152494628,0,0,0,0,0,1654
275,152504628,0,0,0,0,0,1651
