seq,ts_us,s0,s1,s2,s3,s4,s5
140,116152727,0,0,0,0,1356,0
141,116162727,0,0,0,0,1372,0
142,116172727,0,0,0,0,1373,0
143,116182727,0,0,0,0,1376,0
144,116192727,0,0,0,0,1389,0
145,116202727,0,0,0,0,1390,0
146,116212727,0,0,0,0,1399,0
147,116222727,0,0,0,0,1416,0
148,116232727,0,0,0,0,1429,0
149,116242727,0,0,0,0,1425,0
150,116252727,0,0,0,0,1434,0
151,116262727,0,0,0,0,1438,0
152,116272727,0,0,0,0,1468,0
153,116282727,0,0,0,0,1396,0
154,116292727,0,0,0,0,1490,0
155,116302727,0,0,0,0,1501,0
156,116312727,0,0,0,0,1506,0
157,116322727,0,0,0,0,1520,0
158,116332727,0,0,0,0,1528,0
159,116342727,0,0,0,0,1458,0
160,116352727,0,0,0,0,1554,0
161,116362727,0,0,0,0,1566,0
162,116372727,0,0,0,0,1575,0
163,116382727,0,0,0,0,1580,0
164,116392727,0,0,0,0,1590,0
165,116402727,0,0,0,0,1596,0
166,116412727,0,0,0,0,1541,0
167,116422727,0,0,0,1,1609,0
168,116432727,0,0,0,0,1617,0
169,116442727,0,0,0,0,1623,0
170,116452727,0,0,0,0,1625,0
171,116462727,0,0,0,0,1631,0
172,116472727,0,0,0,0,1550,0
173,116482727,0,0,0,0,1639,0
174,116492727,0,0,0,0,1643,0
175,116502727,0,0,0,0,1647,0
176,116512727,0,0,0,0,1653,0
177,116522727,0,0,0,0,1656,0
178,116532727,0,0,0,0,1660,0
179,116542727,0,0,0,0,1659,0
180,116552727,0,0,0,0,1661,0
181,116562727,0,0,0,0,1667,0
182,116572727,0,0,0,0,1671,0
183,116582727,0,0,0,0,1677,0
184,116592727,0,0,0,0,1678,0
185,116602727,0,0,0,0,1683,0
186,116612727,0,0,0,0,1687,0
187,116622727,0,0,0,0,1685,0
188,116632727,0,0,0,0,1689,0
189,116642727,0,0,0,0,1692,0
190,116652727,0,0,0,0,1695,0
191,116662727,1,0,0,0,1700,0
192,116672727,0,0,0,0,1701,0
193,116682727,0,0,0,0,1702,0
194,116692727,0,0,0,0,1703,0
195,116702727,0,0,0,0,1705,0
196,116712727,0,0,0,0,1707,0
197,116722727,0,0,0,0,1707,0
198,116732727,0,0,0,0,1600,0
199,116742727,0,0,0,0,1709,0
200,116752727,0,0,0,0,1709,0
201,116762727,0,0,0,0,1709,0
202,116772727,0,0,0,0,1707,0
203,116782727,0,0,0,0,1710,0
204,116792727,0,0,0,0,1716,0
205,116802727,0,0,0,0,1688,0
206,116812727,0,2,0,0,1711,0
207,116822727,0,0,0,0,1718,0
208,116832727,0,0,0,0,1713,0
209,116842727,0,0,0,0,1720,0
210,116852727,0,0,2,0,1719,0
211,116862727,0,0,0,0,1716,0
212,116872727,0,0,0,0,1723,0
213,116882727,0,1,0,0,1719,0
214,116892727,0,0,0,0,1730,0
215,116902727,0,0,0,0,1720,0
216,116912727,0,3,0,0,1723,0
217,116922727,0,0,0,0,1723,0
218,116932727,0,0,0,0,1725,0
219,116942727,0,0,0,0,1722,0
220,116952727,1,0,0,0,1718,0
221,116962727,0,0,0,0,1716,0
222,116972727,0,0,0,0,1721,0
223,116982727,0,0,0,0,1725,0
224,116992727,0,0,0,0,1735,0
225,117002727,0,0,0,0,1691,0
226,117012727,0,0,0,0,1719,0
227,117022727,0,0,0,0,1713,0
228,117032727,0,0,0,0,1719,0
