seq,ts_us,s0,s1,s2,s3,s4,s5
142,124953647,711,866,570,561,0,241
143,124963647,640,812,502,507,0,194
144,124973647,561,749,432,443,0,153
145,124983647,482,677,361,378,0,97
146,124993647,382,610,309,331,0,53
147,125003647,310,529,265,264,0,18
148,125013647,224,439,211,206,0,0
149,125023647,138,365,154,147,0,0
150,125033647,73,314,120,104,0,0
151,125043647,22,272,91,84,0,0
152,125053647,0,195,55,36,0,0
153,125063647,0,216,49,42,0,0
154,125073647,0,185,41,34,0,0
155,125083647,0,149,33,22,0,0
156,125093647,0,116,28,21,2,0
157,125103647,0,85,24,21,0,0
158,125113647,0,51,19,25,0,0
159,125123647,0,9,15,21,0,0
160,125133647,0,0,16,19,0,0
161,125143647,0,0,19,18,0,0
162,125153647,0,2,21,14,0,0
163,125163647,0,2,27,12,0,0
164,125173647,0,9,30,13,0,0
165,125183647,0,12,34,17,0,0
166,125193647,0,20,38,16,0,0
167,125203647,0,25,39,17,0,0
168,125213647,0,30,43,15,0,0
169,125223647,0,37,47,16,0,0
170,125233647,0,41,50,18,0,0
171,125243647,0,43,54,10,0,0
172,125253647,0,47,58,18,0,0
173,125263647,0,56,62,19,0,0
174,125273647,0,60,62,17,0,0
175,125283647,0,70,60,15,0,0
176,125293647,0,72,61,18,0,0
177,125303647,0,76,66,18,0,0
178,125313647,0,86,63,20,0,0
179,125323647,0,90,64,17,0,0
180,125333647,0,94,64,18,0,0
181,125343647,0,95,64,17,0,0
182,125353647,0,101,67,16,0,0
183,125363647,0,100,71,21,0,0
184,125373647,0,104,74,18,0,0
185,125383647,0,107,80,20,0,0
186,125393647,0,114,82,20,0,0
187,125403647,0,120,85,22,0,0
188,125413647,0,124,87,21,0,0
189,125423647,0,122,86,22,0,0
190,125433647,0,119,83,21,0,0
191,125443647,0,96,94,37,0,0
192,125453647,0,87,103,50,0,0
193,125463647,0,98,115,63,0,0
194,125473647,0,118,136,94,0,0
195,125483647,0,151,164,116,0,0
196,125493647,0,161,208,141,0,0
197,125503647,0,200,274,191,0,0
198,125513647,4,343,324,254,0,0
199,125523647,62,432,361,327,0,5
200,125533647,104,479,405,393,0,40
201,125543647,142,509,452,460,0,88
202,125553647,181,547,533,525,0,122
203,125563647,245,600,591,588,0,169
204,125573647,317,597,643,660,0,214
205,125583647,422,738,711,715,0,247
206,125593647,523,807,768,765,0,277
207,125603647,610,871,823,812,0,309
208,125613647,678,928,867,844,0,327
209,125623647,732,975,897,870,0,350
210,125633647,784,1013,922,894,0,360
211,125643647,827,1048,941,914,0,374
212,125653647,861,1079,957,925,0,402
213,125663647,893,1101,978,935,0,426
214,125673647,920,0,984,946,0,452
215,125683647,936,0,990,952,0,484
216,125693647,947,0,1001,962,0,501
217,125703647,955,0,929,960,0,494
218,125713647,967,0,1022,989,0,543
219,125723647,976,0,1039,995,0,555
220,125733647,982,0,1044,1005,0,565
221,125743647,985,0,1049,1009,0,580
222,125753647,987,0,1047,1015,0,596
223,125763647,988,0,1055,1020,0,600
224,125773647,989,0,1057,1022,0,605
225,125783647,992,0,1053,1026,0,615
226,125793647,995,0,1060,1030,0,621
227,125803647,996,0,1062,1032,0,628
228,125813647,1000,0,1062,1033,0,633
229,125823647,1005,0,1062,1032,0,636
230,125833647,1011,0,1061,1033,0,639
231,125843647,1014,0,1063,1036,0,642
232,125853647,1016,0,1063,1037,0,648
233,125863647,1018,0,1064,1035,0,651
234,125873647,1019,0,1066,1037,0,645
235,125883647,1019,0,1066,1038,0,651
236,125893647,1030,0,1073,1039,0,654
237,125903647,1026,0,1066,1037,0,657
238,125913647,1029,0,1067,1040,0,657
239,125923647,1033,0,1065,1038,0,661
240,125933647,1031,0,1065,1040,0,658
241,125943647,1037,0,1065,1040,0,662
242,125953647,1040,0,1067,1039,0,664
243,125963647,1024,0,1028,981,0,664
244,125973647,1042,0,1064,1042,0,664
245,125983647,1039,0,1070,1046,0,665
246,125993647,1035,0,1073,1047,0,666
247,126003647,1029,0,1077,1050,0,672
248,126013647,1021,0,1078,1049,0,674
249,126023647,1012,0,994,1036,0,648
250,126033647,1010,0,1080,1055,0,683
251,126043647,1005,0,1081,1056,0,686
252,126053647,1006,0,1082,1053,0,692
253,126063647,1005,0,1082,1053,0,697
254,126073647,1006,0,1082,1053,0,697
255,126083647,1009,0,1082,1053,0,698
256,126093647,1011,0,1081,1056,0,697
257,126103647,1013,0,1082,1055,0,701
258,126113647,1014,0,1085,1056,0,701
259,126123647,1019,0,1080,1055,0,698
260,126133647,1018,0,1080,1053,0,699
261,126143647,1028,0,1079,1049,0,697
262,126153647,977,0,1078,1054,0,697
263,126163647,1041,0,1077,1054,0,690
264,126173647,1046,0,1074,1046,0,681
