seq,ts_us,s0,s1,s2,s3,s4,s5
120,41389221,0,1,173,30,0,0
121,41399221,0,0,168,25,0,0
122,41409221,0,0,160,17,0,0
123,41419221,0,0,153,25,0,0
124,41429221,0,0,151,18,0,0
125,41439221,0,0,149,21,0,0
126,41449221,0,0,158,27,0,0
127,41459221,0,0,165,27,0,0
128,41469221,0,0,169,39,0,0
129,41479221,0,0,179,48,0,0
130,41489221,0,0,185,52,0,0
131,41499221,0,0,192,48,0,0
132,41509221,0,0,194,55,0,0
133,41519221,0,0,193,58,0,0
134,41529221,0,0,195,56,0,0
135,41539221,0,0,198,58,0,0
136,41549221,0,0,197,61,0,0
137,41559221,0,0,186,54,0,0
138,41569221,0,0,204,58,0,0
139,41579221,0,0,209,61,0,0
140,41589221,0,0,216,94,0,0
141,41599221,2,0,261,162,0,0
142,41609221,0,0,304,254,0,7
143,41619221,0,0,347,348,0,147
144,41629221,0,0,412,478,49,304
145,41639221,0,0,495,600,147,426
146,41649221,0,0,572,722,204,519
147,41659221,0,0,667,837,248,599
148,41669221,0,0,741,934,293,661
149,41679221,0,0,844,1003,326,737
150,41689221,0,0,930,1054,302,761
151,41699221,0,0,1015,1125,344,846
152,41709221,0,0,1088,1165,358,891
153,41719221,0,0,1144,1196,367,923
154,41729221,0,0,1185,1222,372,945
155,41739221,0,0,1217,1238,372,955
156,41749221,74,1,1245,1248,368,961
157,41759221,179,463,1237,1180,360,957
158,41769221,330,648,1286,1261,351,950
159,41779221,456,756,1297,1268,331,941
160,41789221,578,834,1308,1272,312,929
161,41799221,672,901,1317,1275,273,914
162,41809221,757,946,1324,1278,235,893
163,41819221,820,0,1332,1260,175,829
164,41829221,877,0,1336,1286,195,854
165,41839221,917,0,1338,1288,158,827
166,41849221,946,0,1339,1287,150,812
167,41859221,964,0,1339,1285,137,800
168,41869221,978,0,1339,1280,125,792
169,41879221,988,0,1337,1276,119,788
170,41889221,926,0,1333,1271,116,779
171,41899221,1004,0,1326,1263,117,773
172,41909221,1016,0,1323,1256,116,764
173,41919221,1020,0,1319,1249,118,759
174,41929221,1033,0,1314,1241,135,762
175,41939221,1031,0,1304,1235,151,765
176,41949221,1031,0,1297,1227,176,778
177,41959221,1036,0,1291,1222,181,789
178,41969221,1034,0,1284,1216,201,795
179,41979221,1038,0,1277,1211,216,804
180,41989221,1042,0,1272,1207,229,811
181,41999221,1044,0,1269,1205,238,813
182,42009221,1048,0,1268,1202,251,820
183,42019221,1053,0,1266,1199,263,824
184,42029221,1057,0,1268,1202,267,831
185,42039221,1059,0,1270,1203,279,841
186,42049221,1060,0,1273,1206,293,850
187,42059221,1059,0,1274,1207,302,859
188,42069221,1056,0,1275,1208,328,870
189,42079221,1053,0,1275,1210,341,880
190,42089221,1025,0,1249,1140,359,895
191,42099221,1039,0,1276,1212,382,0
192,42109221,1027,0,1277,1212,404,0
193,42119221,1014,0,1277,1213,414,0
194,42129221,1004,0,1276,1213,425,0
195,42139221,998,0,1276,1214,444,0
196,42149221,990,0,1275,1212,455,0
197,42159221,987,0,1274,1211,469,0
198,42169221,983,0,1273,1210,474,0
199,42179221,985,0,1272,1206,481,0
200,42189221,992,0,1271,1202,490,0
201,42199221,999,0,1268,1197,491,0
202,42209221,1003,0,1262,1190,489,0
203,42219221,1017,0,1256,1182,485,0
204,42229221,1035,0,1251,1172,480,0
205,42239221,1052,0,1243,1158,468,0
206,42249221,1068,0,1237,1141,452,0
207,42259221,1086,0,1226,1127,428,0
208,42269221,1100,0,1215,1114,414,0
209,42279221,1114,0,1207,1100,403,0
210,42289220,1107,0,1142,1042,343,0
211,42299221,1143,0,1190,1074,369,0
212,42309221,1158,0,1177,1061,352,0
213,42319221,1173,0,1168,1045,341,0
214,42329221,1182,0,1152,1019,314,0
215,42339221,1192,0,1138,1004,287,0
216,42349221,1201,0,1127,986,262,0
217,42359221,1211,0,1114,970,235,764
218,42369221,1223,0,1103,952,212,749
219,42379221,1228,0,1092,931,195,727
220,42389221,1233,0,1073,909,181,690
221,42399221,1237,0,1054,887,144,655
222,42409221,1237,0,1035,861,101,618
223,42419221,1166,0,1002,826,88,575
224,42429221,1226,0,973,793,57,516
225,42439221,1205,0,934,744,32,455
226,42449221,1180,0,890,682,3,412
227,42459221,1147,0,841,627,0,364
228,42469221,1107,0,788,568,0,326
229,42479221,1033,0,695,456,0,263
230,42489221,993,0,635,401,0,157
231,42499221,904,0,504,293,0,76
232,42509221,786,0,360,167,0,0
233,42519221,662,0,244,76,0,0
234,42529221,561,0,159,29,0,0
235,42539221,468,0,79,0,0,0
236,42549221,314,0,49,0,0,0
237,42559221,223,0,29,0,0,0
238,42569221,88,0,28,0,0,0
239,42579221,0,0,37,0,0,0
240,42589221,0,0,42,0,0,0
241,42599221,0,0,47,0,0,0
242,42609221,2,0,53,0,0,0
243,42619221,6,0,56,0,0,0
244,42629221,5,0,60,0,0,0
245,42639221,0,0,66,0,0,0
246,42649221,0,0,73,5,0,2
247,42659221,0,0,83,9,0,0
248,42669221,0,0,89,11,0,0
249,42679221,0,0,91,15,0,0
250,42689221,0,0,99,17,0,0
251,42699221,0,0,101,16,0,0
252,42709221,0,0,106,16,0,0
253,42719221,0,0,109,20,0,0
254,42729221,0,0,111,16,0,0
255,42739221,0,0,110,12,0,0
256,42749221,0,0,105,11,0,0
257,42759221,0,0,98,6,0,0
258,42769221,0,0,93,5,0,0
259,42779221,0,0,91,4,0,2
260,42789221,0,0,88,9,0,0
261,42799221,0,0,89,8,0,0
262,42809221,0,15,89,6,0,0
263,42819221,0,46,93,10,0,0
264,42829221,0,0,95,10,0,0
265,42839221,0,0,106,17,0,0
266,42849221,0,0,110,23,0,0
267,42859221,0,0,120,30,0,0
268,42869221,0,0,114,17,0,0
269,42879221,0,0,127,41,0,0
270,42889221,0,0,135,44,0,0
271,42899221,0,0,140,47,0,0
272,42909221,0,0,142,50,0,0
273,42919221,0,0,145,50,0,0
274,42929221,0,0,144,51,0,0
275,42939221,0,0,144,48,0,0
276,42949221,0,0,146,23,0,0
277,42959221,0,0,137,7,0,0
278,42969221,91,0,120,0,0,0
279,42979221,236,0,121,0,0,0
280,42989221,442,735,104,0,0,0
281,42999221,650,883,104,0,0,0
282,43009221,805,986,109,0,0,0
283,43019221,892,1051,108,0,0,0
284,43029221,976,1105,104,5,0,0
285,43039221,1064,1164,104,0,0,0
286,43049221,1147,1230,102,0,0,0
287,43059221,1225,1298,96,0,0,0
288,43069221,1310,1359,105,0,0,0
289,43079221,1379,1421,135,2,0,0
290,43089221,1425,1469,181,24,0,0
291,43099221,1454,1496,219,47,0,0
292,43109221,1469,1510,266,72,0,0
293,43119221,1491,1527,315,86,0,0
294,43129221,1505,1548,374,127,0,0
295,43139221,1513,1559,416,158,0,0
