seq,ts_us,s0,s1,s2,s3,s4,s5
116,33686120,1054,1227,1043,1132,358,921
117,33696121,1021,1176,1068,1141,401,952
118,33706121,984,1122,1091,1158,429,988
119,33716121,940,1077,1109,1167,469,1041
120,33726121,891,1041,1117,1182,502,1067
121,33736120,848,1006,1127,1191,536,1107
122,33746121,802,963,1139,1201,575,1132
123,33756121,757,916,1144,1210,611,1159
124,33766121,685,863,1147,1224,656,1185
125,33776121,615,810,1157,1235,698,1208
126,33786120,536,737,1158,1239,746,1241
127,33796121,451,678,1161,1246,789,1261
128,33806121,385,611,1161,1251,830,1279
129,33816121,291,555,1161,1260,875,0
130,33826121,192,470,1161,1268,912,0
131,33836120,95,381,1157,1278,951,0
132,33846121,8,289,1143,1276,981,0
133,33856121,0,160,1127,1280,1018,0
134,33866121,0,56,1086,1273,1055,0
135,33876121,0,0,1044,1270,1085,0
136,33886120,0,0,977,1263,1110,0
137,33896121,0,0,868,1242,1129,0
138,33906121,0,0,758,1206,1135,0
139,33916121,0,0,646,1144,1155,0
140,33926121,0,0,570,1077,1126,1432
141,33936120,0,0,498,997,1075,1450
142,33946121,0,0,403,889,982,1456
143,33956121,0,0,320,762,794,1465
144,33966121,0,0,263,624,608,1450
145,33976121,0,0,210,485,365,0
146,33986120,0,0,154,389,205,1278
147,33996121,0,0,106,324,112,1196
148,34006121,0,0,67,258,26,1086
149,34016121,0,0,44,210,0,878
150,34026121,0,0,41,144,0,569
151,34036120,0,0,33,92,0,179
152,34046121,0,0,38,76,0,5
153,34056121,0,0,37,77,0,47
154,34066121,0,0,38,71,0,114
155,34076121,0,0,33,70,0,117
156,34086120,0,0,26,67,0,97
157,34096121,0,0,24,65,0,74
158,34106121,0,0,18,65,0,60
159,34116121,0,0,8,55,0,38
160,34126121,0,0,2,50,0,11
161,34136120,0,0,0,45,0,10
162,34146121,0,0,0,39,0,6
163,34156121,0,0,0,27,0,7
164,34166121,0,0,0,14,0,3
165,34176121,0,3,0,6,0,4
166,34186120,0,0,0,1,0,5
167,34196121,0,0,0,0,0,9
168,34206121,0,0,0,0,0,29
169,34216121,0,0,0,0,0,57
170,34226121,0,0,0,0,0,103
171,34236120,0,0,0,0,0,149
172,34246121,0,0,0,0,0,187
173,34256121,0,0,0,0,0,229
174,34266121,0,0,0,0,0,268
175,34276121,0,0,0,3,0,294
176,34286120,0,0,0,5,0,310
177,34296121,0,0,0,3,0,317
178,34306121,0,0,0,0,0,326
179,34316121,0,0,0,0,0,339
180,34326121,0,0,0,0,0,340
181,34336120,0,0,0,0,0,327
182,34346121,0,0,0,0,0,303
183,34356121,0,0,0,5,0,281
184,34366121,0,0,0,0,0,266
