seq,ts_us,s0,s1,s2,s3,s4,s5
111,11777122,762,940,1239,1259,339,0
112,11787122,876,1017,1244,1257,328,0
113,11797122,967,1090,1248,1254,325,0
114,11807122,1055,1136,1245,1244,316,0
115,11817123,1114,1183,1242,1235,311,0
116,11827122,1161,1212,1237,1217,296,1050
117,11837122,1194,1242,1227,1203,279,1047
118,11847122,1224,1259,1214,1183,268,1045
119,11857122,1244,1272,1203,1166,261,1033
120,11867122,1262,1287,1188,1128,246,1012
121,11877122,1283,1299,1167,1112,246,996
122,11887122,1298,1310,1148,1085,235,976
123,11897122,1315,1323,1128,1058,224,957
124,11907122,1326,1334,1109,1017,210,934
125,11917122,1341,1346,1086,998,185,907
126,11927122,1356,1359,1063,973,169,884
127,11937122,1368,1369,1045,948,145,862
128,11947122,1378,1379,1023,921,127,823
129,11957122,1392,1389,1010,895,113,801
130,11967122,1397,1403,997,876,104,765
131,11977122,1412,1417,985,852,88,745
132,11987122,1427,1433,974,819,71,714
133,11997122,1441,1447,959,800,44,676
134,12007122,1452,1463,949,779,20,635
135,12017122,1467,1481,935,753,1,594
136,12027122,1486,1496,924,718,0,556
137,12037122,1505,1512,907,689,0,522
138,12047122,1518,1526,890,655,0,489
139,12057122,1538,1541,869,630,0,461
140,12067122,1551,1552,853,601,0,443
141,12077122,1562,1561,850,583,0,420
142,12087122,1565,1572,822,560,0,407
143,12097122,1577,1578,805,534,0,366
144,12107122,1584,1588,784,501,0,339
145,12117122,1594,1596,766,480,0,313
146,12127122,1603,1607,752,466,0,297
147,12137122,1611,1612,739,446,0,278
148,12147122,1547,1617,725,435,0,270
149,12157122,1621,1621,706,420,0,253
150,12167122,1623,1549,696,400,0,249
151,12177122,1624,1559,688,393,0,250
152,12187122,1628,0,679,384,0,260
153,12197122,1631,0,671,377,0,260
154,12207122,1637,1371,666,367,0,263
155,12217122,1635,0,663,360,0,249
156,12227122,1637,0,659,355,0,241
157,12237122,1639,0,652,352,0,245
158,12247122,1637,1638,650,348,0,252
159,12257122,1640,1642,649,345,0,263
160,12267122,1641,1644,646,345,0,264
161,12277122,1641,1644,582,331,0,256
162,12287122,1645,1649,645,339,0,286
163,12297122,1644,1649,637,339,0,295
164,12307122,1645,1649,635,340,0,305
165,12317122,1646,1650,634,336,0,318
166,12327122,1644,1649,635,337,0,332
167,12337122,1643,1649,632,334,0,344
168,12347122,1641,1646,631,336,0,352
169,12357122,1640,1642,617,335,0,349
170,12367122,1638,1640,609,324,0,342
171,12377122,1629,1638,597,316,0,341
172,12387122,1631,1632,583,302,0,341
173,12397122,1629,1623,574,290,0,337
174,12407122,1550,1540,553,285,0,333
175,12417122,1619,1611,542,274,0,329
176,12427122,1612,1600,531,262,0,313
177,12437122,1599,1593,508,256,0,306
178,12447122,1586,1579,490,256,0,302
179,12457122,1575,1563,482,261,0,307
180,12467122,1558,1539,423,251,0,285
181,12477122,1544,1515,474,270,0,324
182,12487122,1518,1497,469,272,0,332
183,12497122,1498,1477,467,276,0,341
184,12507122,1475,1455,455,270,0,351
185,12517122,1453,1434,440,276,0,356
186,12527122,1433,1412,432,274,0,357
187,12537122,1418,1391,423,273,0,358
188,12547122,1391,1375,414,279,0,360
189,12557122,1373,1347,406,272,0,358
190,12567122,1352,1325,390,264,0,356
191,12577122,1322,1307,379,254,0,347
192,12587122,1294,1279,375,248,0,343
193,12597122,1257,1256,368,241,0,340
194,12607122,1221,1227,360,235,0,332
195,12617122,1184,1194,350,230,0,323
196,12627122,1154,1165,328,218,0,313
197,12637122,1129,1130,303,215,0,301
198,12647122,1080,1100,294,209,0,288
199,12657122,1044,1053,276,197,0,266
200,12667122,997,1013,251,193,0,238
201,12677122,953,0,226,177,0,212
202,12687122,897,0,202,163,0,176
203,12697122,841,890,180,137,0,144
204,12707122,778,847,155,116,0,89
205,12717122,718,0,146,86,0,69
206,12727122,649,0,120,56,0,39
207,12737122,550,0,94,39,0,11
208,12747122,456,0,69,24,0,0
209,12757122,356,571,52,13,0,0
210,12767122,236,504,40,0,0,0
211,12777122,148,444,28,0,0,0
212,12787122,88,365,17,0,0,0
213,12797122,31,298,10,0,0,0
214,12807122,2,228,11,0,0,0
215,12817122,0,170,13,0,0,0
216,12827122,0,120,17,0,0,0
217,12837122,0,92,21,0,0,0
218,12847122,0,88,24,0,0,0
219,12857122,0,85,35,0,0,0
220,12867122,0,91,40,4,0,0
221,12877122,0,91,45,8,0,0
222,12887122,0,91,45,11,0,0
223,12897122,0,92,53,14,0,0
224,12907122,0,96,59,15,0,0
225,12917122,0,104,64,17,0,0
226,12927122,0,101,69,19,0,2
227,12937122,0,101,73,20,0,0
228,12947122,0,109,74,20,0,0
229,12957122,0,112,79,20,0,0
230,12967122,0,117,83,19,0,0
231,12977122,0,117,84,18,0,0
232,12987122,0,122,80,14,0,0
233,12997122,0,122,82,13,0,0
234,13007122,0,123,80,10,0,0
235,13017122,0,123,78,7,0,0
236,13027122,0,129,76,5,0,0
237,13037122,0,132,81,6,0,0
238,13047122,0,136,88,7,0,0
239,13057122,0,136,57,5,0,0
240,13067122,0,135,91,10,0,0
241,13077122,0,137,93,12,0,0
242,13087122,0,137,100,12,0,0
243,13097122,0,140,96,12,0,0
244,13107122,0,140,91,11,0,0
245,13117122,0,138,81,11,0,0
246,13127122,0,139,72,9,0,0
247,13137122,0,135,74,8,0,0
248,13147122,0,142,91,5,0,0
249,13157122,0,185,118,22,0,0
250,13167122,0,171,110,31,0,0
251,13177122,0,188,134,41,0,0
252,13187122,0,217,152,72,0,0
253,13197122,7,0,179,97,0,0
254,13207122,27,0,209,141,0,0
255,13217122,49,310,263,200,0,26
256,13227122,64,343,298,247,0,87
257,13237122,64,358,316,301,0,135
258,13247122,49,331,304,341,0,199
259,13257122,59,366,371,383,0,246
260,13267122,58,370,403,422,0,294
261,13277122,59,380,413,460,0,314
262,13287122,65,398,442,486,0,341
263,13297122,73,411,468,517,0,358
264,13307122,78,424,491,511,0,350
265,13317122,97,444,518,567,0,422
266,13327122,112,464,548,596,0,448
267,13337122,135,472,574,622,0,485
268,13347122,146,488,598,647,0,520
269,13357122,151,499,615,671,0,543
270,13367122,163,507,638,692,0,566
271,13377122,173,520,663,685,0,529
272,13387122,179,533,685,747,0,606
273,13397122,188,540,709,756,0,632
274,13407122,200,547,726,778,0,652
275,13417122,202,551,744,793,4,676
276,13427122,205,553,765,808,20,699
277,13437122,210,556,781,829,35,729
278,13447122,196,508,761,804,57,748
279,13457122,210,555,822,866,76,775
280,13467122,206,556,839,879,97,797
281,13477122,210,554,851,895,119,823
282,13487122,209,555,862,912,151,850
283,13497122,206,553,874,921,171,885
284,13507123,185,520,824,916,158,901
285,13517122,199,551,893,950,223,935
286,13527122,189,548,899,964,245,956
287,13537122,185,544,920,974,279,981
288,13547122,183,539,928,985,291,998
289,13557122,178,536,940,999,306,1013
290,13567122,169,538,951,1005,348,1030
291,13577122,175,0,958,1021,374,0
292,13587122,178,0,971,1032,395,0
293,13597122,183,0,982,1046,407,0
294,13607122,196,0,991,1060,416,0
295,13617122,201,0,1005,1069,436,0
296,13627122,214,0,1016,1081,473,0
297,13637122,203,0,1037,1091,482,0
298,13647122,251,0,1051,1102,498,0
299,13657122,280,629,1068,1111,509,0
300,13667122,301,654,1081,1120,544,0
301,13677122,334,675,1095,1133,551,0
302,13687122,348,696,1107,1142,567,0
303,13697122,362,719,1119,1155,588,0
304,13707122,375,728,1130,1170,608,0
