seq,ts_us,s0,s1,s2,s3,s4,s5
127,64675432,0,454,1011,974,0,378
128,64685432,0,544,1073,1048,11,429
129,64695432,0,626,1118,1102,22,464
130,64705432,0,708,1171,1154,32,493
131,64715432,0,763,1205,1200,41,526
132,64725432,0,811,1235,1238,44,544
133,64735432,0,856,1259,1267,46,557
134,64745432,0,895,1284,1292,58,572
135,64755432,0,928,1302,1308,57,588
136,64765432,0,987,1320,1320,59,594
137,64775432,0,985,1289,1329,60,600
138,64785432,0,1096,1337,1330,61,598
139,64795432,0,1126,1343,1332,61,590
140,64805432,0,1147,1349,1332,60,577
141,64815432,0,1136,1353,1333,53,559
142,64825432,0,1089,1357,1334,42,552
143,64835432,0,1031,1336,1244,42,547
144,64845432,0,1074,1359,1333,38,537
145,64855432,0,688,1362,1333,41,530
146,64865432,0,0,1361,1333,34,522
147,64875432,0,0,1361,1330,27,505
148,64885432,0,0,1362,1327,21,488
149,64895432,0,0,1360,1323,17,474
150,64905432,0,0,1355,1317,9,457
151,64915432,0,0,1350,1308,6,437
152,64925432,0,0,1343,1303,2,417
153,64935432,0,0,1338,1297,0,407
154,64945432,0,0,1335,1290,0,403
155,64955432,0,0,1332,1285,0,407
156,64965432,0,0,1325,1275,0,413
157,64975432,2,0,1320,1269,2,422
158,64985432,0,1379,1312,1258,1,427
159,64995432,0,1389,1299,1239,0,428
160,65005432,0,1400,1285,1214,0,425
161,65015432,0,1423,1269,1187,0,419
162,65025432,0,1437,1258,1165,0,409
163,65035432,0,1451,1251,1140,0,396
164,65045432,0,1469,1243,1126,0,380
165,65055432,0,1477,1238,1113,0,370
166,65065432,0,1492,1234,1102,0,347
167,65075432,0,1499,1227,1095,0,326
168,65085432,0,1509,1221,1081,0,301
169,65095432,0,1441,1178,1068,0,280
170,65105432,0,1525,1206,1055,0,267
171,65115432,0,1530,1201,1043,0,247
172,65125432,0,1544,1192,1031,0,232
173,65135432,0,1547,1183,1014,0,217
174,65145432,0,1552,1177,1001,0,209
175,65155432,0,1473,1141,1000,0,218
176,65165432,0,1556,1175,997,0,228
177,65175432,0,1556,1176,998,0,247
178,65185432,0,1556,1176,993,0,264
179,65195432,0,1553,1176,992,0,277
180,65205432,0,1552,1172,983,0,292
