seq,ts_us,s0,s1,s2,s3,s4,s5
108,3281701,1236,1420,1150,983,0,359
109,3291701,1235,1418,1149,983,0,359
110,3301701,1233,1417,1149,983,0,360
111,3311701,1229,1411,1149,983,0,359
112,3321701,1225,1404,1149,984,0,362
113,3331701,1214,1398,1149,984,0,365
114,3341701,1208,1394,1151,985,0,368
115,3351701,1204,1383,1153,964,0,342
116,3361701,1200,1382,1151,986,0,372
117,3371701,1197,1379,1150,986,0,373
118,3381701,1193,1374,1151,987,0,374
119,3391701,1190,1369,1152,987,0,374
120,3401701,1184,1364,1153,990,0,376
121,3411701,1179,1356,1153,991,0,376
122,3421701,1173,1352,1153,992,0,376
123,3431701,1166,1346,1151,991,0,377
124,3441701,1161,1338,1151,994,0,377
125,3451701,1157,1335,1152,993,0,376
126,3461701,1147,1328,1153,995,0,370
127,3471701,1139,1323,1156,995,0,362
128,3481701,1130,1314,1151,993,0,319
129,3491701,1121,1306,1152,997,0,352
130,3501701,1111,1298,1149,996,0,348
131,3511701,1105,1289,1148,997,0,347
132,3521701,1097,1277,1147,997,0,345
133,3531701,1091,1272,1147,998,0,345
134,3541701,1085,0,1147,999,0,345
135,3551701,1082,0,1146,998,0,346
136,3561701,1078,0,1145,999,0,348
137,3571701,1072,0,1144,999,0,352
138,3581701,1065,0,1144,998,0,356
139,3591701,1056,0,1143,999,0,358
140,3601701,1049,0,1141,998,0,361
141,3611701,1043,0,1141,999,0,364
142,3621701,1035,0,1138,999,0,370
143,3631701,1026,0,1138,999,0,373
144,3641701,1019,0,1137,998,0,376
145,3651701,1014,0,1136,998,0,383
146,3661701,1005,0,1135,998,0,391
147,3671701,998,0,1135,999,0,400
148,3681701,988,0,1134,999,0,404
149,3691701,981,0,1134,999,0,408
150,3701701,972,0,1134,1000,0,410
151,3711701,966,1135,1132,998,0,410
152,3721701,956,1132,1132,999,0,411
153,3731701,952,1127,1132,981,0,385
154,3741701,948,1126,1132,999,0,418
155,3751701,943,1123,1130,1000,0,420
156,3761701,942,1121,1130,999,0,419
157,3771701,940,1116,1130,1000,0,422
158,3781701,941,1114,1129,999,0,422
159,3791701,939,1113,1128,999,0,422
160,3801701,872,1106,1128,999,0,422
161,3811701,935,1109,1127,998,0,416
162,3821701,934,1107,1125,998,0,417
163,3831701,929,1103,1124,999,0,417
164,3841701,926,1101,1124,998,0,416
165,3851701,923,1097,1124,998,0,420
166,3861701,921,1095,1123,999,0,415
167,3871701,919,1093,1123,998,0,417
168,3881701,915,1087,1122,1002,0,419
169,3891701,912,1084,1121,1003,0,418
170,3901701,910,1082,1121,996,0,417
171,3911701,907,1081,1121,1002,0,417
172,3921701,904,1077,1120,993,0,420
173,3931701,897,1072,1049,978,0,409
174,3941701,895,1070,1121,1000,0,424
175,3951701,893,1069,1121,1000,0,431
176,3961701,891,1067,1121,999,0,425
177,3971701,890,1066,1120,1008,0,427
178,3981701,889,1065,1118,999,0,428
179,3991701,889,1064,1118,998,0,429
180,4001701,863,979,1100,937,0,424
181,4011701,888,1064,1116,999,0,422
182,4021701,890,1064,1116,999,0,424
183,4031701,889,1063,1114,998,0,422
184,4041701,890,1064,1114,996,0,420
185,4051701,891,1064,1112,994,0,418
186,4061701,893,1062,1111,974,0,386
187,4071701,893,1066,1112,991,0,413
188,4081701,894,1068,1111,992,0,414
189,4091701,899,1069,1108,992,0,409
190,4101701,903,1071,1104,987,0,409
191,4111701,904,1073,1106,984,0,404
192,4121701,907,1077,1108,985,0,396
193,4131701,913,1077,1103,984,0,393
194,4141701,915,1080,1092,982,0,391
195,4151701,917,1090,1090,979,0,381
196,4161701,919,1079,1092,978,0,376
197,4171701,920,1085,1081,974,0,371
198,4181701,921,1089,1086,969,0,365
199,4191701,922,1088,1080,971,0,361
200,4201701,924,1088,1079,967,0,356
