seq,ts_us,s0,s1,s2,s3,s4,s5
120,49748700,1307,1323,1238,1034,1,526
121,49758700,1314,1336,1230,1021,0,526
122,49768700,1323,1333,1228,1017,0,531
123,49778700,1332,1339,1221,1004,0,532
124,49788700,1338,1357,1212,993,0,533
125,49798700,1350,1358,1206,986,0,532
126,49808700,1356,1364,1200,976,0,532
127,49818700,1365,1370,1193,963,0,530
128,49828700,1372,1373,1187,955,0,523
129,49838700,1383,1385,1178,945,0,513
130,49848700,1393,1391,1171,932,0,500
131,49858700,1407,1400,1157,922,0,484
132,49868700,1419,1414,1153,909,0,471
133,49878700,1432,1420,1144,892,0,456
134,49888700,1448,1427,1132,879,0,436
135,49898700,1452,1436,1128,865,0,423
136,49908700,1461,1443,1118,854,0,419
137,49918700,1464,1444,1115,840,0,409
138,49928700,1468,0,1116,824,0,407
139,49938700,1476,0,1117,837,0,407
140,49948700,1474,0,1118,833,0,407
141,49958700,1482,3,1115,832,0,399
142,49968700,1481,0,1121,834,0,413
143,49978700,1479,0,1123,826,0,413
144,49988700,1487,0,1125,826,0,414
145,49998700,1497,0,1124,822,0,418
146,50008700,1493,0,1124,818,0,420
147,50018700,1491,0,1123,818,0,422
148,50028700,1495,0,1121,818,0,424
149,50038700,1493,0,1114,807,0,428
150,50048700,1496,0,1109,806,0,431
151,50058700,1495,0,1099,803,0,436
152,50068700,1498,0,1092,795,0,437
153,50078700,1499,1466,1082,791,0,438
154,50088700,1497,1455,1075,791,0,439
155,50098700,1499,1456,1068,781,0,439
156,50108700,1497,1472,1060,773,0,438
157,50118700,1501,0,1052,770,0,435
158,50128700,1508,0,1045,761,0,429
159,50138700,1497,0,1037,757,0,423
160,50148700,1497,0,1011,674,0,379
161,50158700,1497,0,1020,737,0,411
162,50168700,1499,0,1013,728,0,407
163,50178700,1502,0,1004,714,0,398
164,50188700,1505,0,997,698,0,383
165,50198700,1507,0,985,685,0,373
166,50208700,1504,0,970,671,0,348
167,50218700,1508,0,965,662,0,341
168,50228700,1509,0,956,652,0,328
169,50238700,1510,0,949,646,0,314
170,50248700,1512,0,938,630,0,302
171,50258700,1512,0,929,620,0,294
172,50268700,1513,0,920,605,0,279
173,50278700,1513,0,908,595,0,266
174,50288700,1510,1433,902,579,0,250
175,50298700,1509,1435,887,566,0,238
176,50308700,1506,1461,876,549,0,222
177,50318700,1497,1472,861,534,0,208
178,50328700,1488,1476,845,518,0,193
179,50338700,1469,1463,828,492,0,175
180,50348700,1454,1446,809,474,0,162
181,50358700,1434,1431,787,452,0,149
182,50368700,1405,1411,751,428,0,128
183,50378700,1379,1388,728,402,0,110
184,50388700,1339,1364,699,377,0,95
185,50398700,1305,1329,664,349,0,78
186,50408700,1168,1273,586,328,0,59
187,50418700,1235,1266,606,293,0,45
188,50428700,1188,1226,566,261,0,24
189,50438700,1130,1174,527,237,0,5
190,50448700,1078,1121,481,204,0,0
191,50458700,1014,1061,426,185,0,0
192,50468700,948,986,388,158,0,0
193,50478700,879,924,340,111,0,0
194,50488700,806,847,306,87,0,0
195,50498700,710,765,270,63,0,0
196,50508700,609,672,241,44,0,0
197,50518700,491,599,220,26,0,0
198,50528700,379,518,199,16,0,0
199,50538700,278,455,191,8,0,0
200,50548700,181,376,189,6,0,0
201,50558700,93,327,183,4,0,0
202,50568700,42,284,182,5,0,0
203,50578700,10,263,180,10,0,0
204,50588700,0,235,173,14,0,0
205,50598700,0,217,174,20,0,0
206,50608700,0,191,174,21,0,0
207,50618700,0,165,180,25,0,0
208,50628700,0,160,184,28,0,0
209,50638700,0,166,186,30,0,0
210,50648700,0,169,190,34,0,0
211,50658700,0,157,202,35,0,0
212,50668700,0,167,206,37,0,0
213,50678700,0,166,212,38,0,0
214,50688700,0,161,216,41,0,0
215,50698700,0,155,222,44,0,0
216,50708700,0,152,223,45,0,0
217,50718700,0,148,225,45,0,0
218,50728700,0,139,228,51,0,0
219,50738700,0,135,230,54,0,0
220,50748700,0,121,233,54,0,0
221,50758700,0,111,236,58,0,0
222,50768700,0,103,244,60,0,0
223,50778700,0,91,247,61,0,0
224,50788700,0,85,249,68,0,0
225,50798700,0,79,252,67,0,0
226,50808700,0,76,256,68,0,0
227,50818700,0,73,254,69,0,0
228,50828700,0,71,254,69,0,0
229,50838700,0,72,252,70,0,0
230,50848700,0,71,256,70,0,0
231,50858700,0,53,238,42,0,0
232,50868700,0,73,260,70,0,0
233,50878700,0,73,262,70,0,0
234,50888700,0,75,265,70,0,0
235,50898700,0,77,265,72,0,0
236,50908700,0,74,266,73,0,0
237,50918700,0,76,268,75,0,0
238,50928700,0,80,272,75,0,0
239,50938700,0,81,274,77,0,0
240,50948700,0,83,279,77,0,0
241,50958700,0,82,280,77,0,0
242,50968700,0,80,279,76,0,0
243,50978700,0,80,271,75,0,0
244,50988700,0,75,266,74,0,0
245,50998700,0,84,253,71,0,0
246,51008700,0,82,243,69,0,0
247,51018700,0,84,236,62,0,0
248,51028700,0,84,229,58,0,0
249,51038700,0,87,231,57,0,0
250,51048700,0,83,195,56,0,0
251,51058700,0,100,233,56,0,0
252,51068700,0,107,234,54,0,0
253,51078700,0,0,255,44,0,0
254,51088700,137,445,252,22,0,0
255,51098700,473,693,236,4,0,0
256,51108700,719,863,249,0,0,0
257,51118700,880,980,247,0,0,0
258,51128700,993,1062,246,0,0,0
259,51138700,1095,1150,253,0,0,0
260,51148700,1184,1226,267,10,0,0
261,51158700,1268,1288,290,29,0,0
262,51168700,1326,1330,311,40,0,0
263,51178700,1362,1367,339,34,0,0
264,51188700,1386,1397,374,71,0,0
265,51198700,1402,1422,412,75,0,0
266,51208700,1417,0,444,92,0,0
267,51218700,1432,0,480,114,0,0
268,51228700,1449,0,512,153,0,0
269,51238700,1467,0,547,201,0,0
270,51248700,1488,0,597,248,0,0
271,51258700,1502,1512,626,298,0,0
272,51268700,1512,1525,669,348,0,0
273,51278700,1515,1529,713,412,0,0
274,51288700,1516,1534,753,469,0,0
275,51298700,1516,1534,793,522,0,0
276,51308700,1515,1445,807,494,0,0
277,51318700,1517,1541,850,587,0,0
278,51328700,1516,1541,866,607,0,0
279,51338700,1517,1536,893,622,0,0
280,51348700,1517,1529,891,639,0,0
281,51358700,1516,1527,905,661,0,0
282,51368700,1512,1518,917,680,0,0
283,51378700,1406,1481,925,697,0,0
284,51388700,1490,1498,937,712,0,6
285,51398700,1473,1482,935,725,0,40
286,51408700,1455,1465,949,742,0,84
287,51418700,1439,1449,958,764,0,128
288,51428700,1404,1431,968,789,0,170
289,51438700,1369,1317,966,745,0,181
290,51448700,1326,1367,997,857,0,266
