seq,ts_us,s0,s1,s2,s3,s4,s5
120,43803651,939,1172,3,0,0,0
121,43813651,990,1210,7,8,0,0
122,43823651,1045,1249,16,16,1,0
123,43833651,1091,1285,31,26,0,0
124,43843651,1126,1320,57,42,0,0
125,43853651,1149,1341,74,50,0,0
126,43863651,1173,1375,91,82,0,0
127,43873651,1194,1396,102,91,0,0
128,43883651,1214,1418,119,115,0,0
129,43893651,1238,1433,137,135,0,0
130,43903651,1257,1447,154,147,0,18
131,43913651,1275,1465,168,167,0,35
132,43923652,1299,1489,191,188,0,54
133,43933651,1317,1499,219,202,0,78
134,43943651,1335,1517,238,222,0,97
135,43953651,1357,1534,261,232,0,106
136,43963651,1372,1550,273,245,0,117
137,43973651,1386,1560,294,265,0,125
138,43983651,1402,1574,310,274,0,137
139,43993651,1418,1584,333,301,0,146
140,44003651,1433,1593,354,316,0,151
141,44013651,1444,1607,373,338,0,150
142,44023651,1451,1614,395,354,0,154
143,44033651,1461,1622,411,364,0,164
144,44043651,1469,1627,429,378,0,166
145,44053651,1483,1638,444,391,0,129
146,44063651,1492,1646,454,407,0,172
147,44073651,1496,1650,469,423,0,183
148,44083651,1501,1652,478,431,0,205
149,44093651,1504,1655,491,455,0,228
150,44103651,1507,1658,515,473,0,249
151,44113651,1509,1659,539,499,0,267
152,44123651,1512,1661,556,533,0,283
153,44133651,1512,1662,579,553,0,306
154,44143651,1516,1664,600,580,0,324
155,44153651,1515,1663,621,601,0,331
156,44163651,1515,1663,641,625,0,344
157,44173651,1516,1664,663,648,0,354
158,44183651,1516,1666,678,667,0,366
159,44193651,1515,1660,709,680,0,378
160,44203651,1511,1658,730,697,0,399
161,44213651,1506,1657,739,728,0,404
162,44223651,1501,1653,758,743,0,412
163,44233651,1494,1650,776,759,0,406
164,44243651,1486,1645,789,783,0,352
165,44253651,1481,1641,799,797,0,408
166,44263651,1471,1635,816,815,0,411
167,44273651,1462,1627,829,834,0,417
168,44283651,1452,1622,842,848,0,424
169,44293651,1444,1614,855,865,0,425
170,44303651,1433,1608,869,876,0,419
171,44313651,1426,1599,881,886,0,404
172,44323651,1416,1594,887,895,1,364
173,44333651,1406,1593,896,906,0,333
174,44343651,1403,1583,903,915,0,296
175,44353651,1399,1576,909,922,0,257
176,44363651,1392,1572,915,924,1,240
177,44373651,1386,1564,920,932,5,239
178,44383651,1384,1559,923,938,14,237
179,44393651,1380,1554,919,936,16,233
180,44403651,1378,1547,913,928,16,243
181,44413651,1379,1542,902,921,19,232
182,44423651,1380,1533,885,916,23,210
183,44433651,1385,1533,0,918,31,191
184,44443651,1382,1528,0,921,42,170
185,44453651,1378,1513,0,925,55,163
186,44463651,1369,1509,0,931,59,171
187,44473651,1360,1498,0,934,85,180
188,44483651,1352,1490,0,939,99,196
189,44493651,1347,1482,0,941,106,215
190,44503651,1262,1483,0,947,108,243
191,44513651,1335,1471,0,950,123,261
192,44523651,1328,1462,0,951,138,279
193,44533651,1322,1451,0,953,159,317
194,44543651,1319,1443,0,959,170,359
195,44553651,1310,1434,0,965,199,404
196,44563651,1303,1422,0,966,229,445
197,44573651,1292,1412,0,969,250,499
198,44583651,1282,1400,0,972,277,549
199,44593651,1272,1386,0,977,289,589
200,44603651,1262,1374,0,982,308,629
201,44613651,1258,1365,0,984,324,659
202,44623651,1247,1352,0,986,344,687
203,44633651,1242,1334,0,989,356,716
204,44643651,1227,1325,0,994,379,742
205,44653651,1213,1310,0,1002,396,764
206,44663651,1202,1299,0,1003,424,793
207,44673651,1185,1282,0,1009,439,826
208,44683651,1171,1265,0,1014,476,876
209,44693651,1144,1245,0,1004,462,893
210,44703651,1125,1220,0,1025,561,990
211,44713651,1093,1193,0,1034,596,1045
212,44723651,1058,1167,0,1038,623,1086
213,44733651,1013,1126,0,1045,647,1124
214,44743651,959,1088,0,1046,696,1170
215,44753651,906,1032,0,1046,735,1232
216,44763651,843,969,0,1053,788,1271
217,44773651,776,899,0,1062,835,1305
218,44783651,694,820,0,1064,888,1334
219,44793651,585,747,0,1066,936,1377
220,44803651,473,670,0,1069,983,1413
221,44813651,356,539,0,1074,1020,1450
222,44823651,217,397,0,1031,994,1399
223,44833651,92,278,0,1069,1075,1511
224,44843651,4,185,0,1067,1094,1541
225,44853651,0,93,0,1058,1108,1570
226,44863651,0,28,0,1044,1116,1606
227,44873651,0,0,563,1027,1126,1630
228,44883651,0,0,562,1002,1125,1650
229,44893651,0,0,518,979,1126,1675
230,44903651,0,0,458,952,1118,1692
231,44913651,0,0,412,919,1076,1707
232,44923651,0,0,363,878,1015,1720
233,44933651,0,0,297,836,935,1736
234,44943651,0,0,268,780,832,1750
235,44953651,0,0,243,696,683,1667
236,44963651,0,0,216,692,611,1761
237,44973651,0,0,215,674,471,1758
238,44983651,0,0,202,643,302,1751
239,44993651,0,0,189,612,199,1737
240,45003651,0,0,173,599,100,1708
241,45013651,0,0,180,598,23,1673
242,45023651,0,0,174,584,0,1622
243,45033651,0,0,179,568,0,1560
244,45043651,0,0,184,286,0,1497
245,45053651,0,0,192,495,0,1433
246,45063651,0,0,195,468,0,1362
247,45073651,0,0,180,429,0,1277
248,45083651,0,0,140,359,0,1177
249,45093651,0,0,152,344,0,1088
250,45103651,0,0,135,304,0,990
251,45113651,0,0,118,278,0,885
252,45123651,0,21,95,217,0,756
253,45133651,0,54,73,153,0,570
254,45143651,0,51,44,94,0,553
255,45153651,0,46,36,96,0,583
256,45163651,0,34,28,88,0,580
257,45173651,0,25,25,85,0,540
258,45183651,0,21,21,73,0,491
259,45193651,0,19,13,72,0,466
260,45203651,0,20,10,66,0,456
261,45213651,0,20,8,62,0,466
262,45223651,0,23,8,58,0,489
263,45233651,0,27,8,58,0,512
264,45243651,0,29,7,60,0,532
265,45253651,0,27,9,59,0,541
266,45263651,0,24,8,57,0,552
267,45273651,0,21,11,60,0,559
268,45283651,0,14,11,59,0,573
269,45293651,0,11,10,57,0,587
270,45303651,0,8,8,55,0,595
271,45313651,0,8,11,55,0,601
272,45323651,0,3,6,52,0,611
273,45333651,0,2,3,42,0,616
274,45343651,0,1,0,33,0,626
275,45353651,0,1,0,28,0,639
276,45363651,0,2,0,24,0,649
277,45373651,0,3,0,21,0,654
278,45383651,0,6,0,21,0,664
279,45393651,0,3,0,22,0,667
280,45403651,0,1,0,21,0,663
281,45413651,0,0,0,15,0,611
282,45423651,0,2,0,19,0,625
283,45433651,0,0,0,15,0,613
284,45443651,0,0,0,11,0,600
285,45453651,0,0,0,10,0,589
286,45463651,0,1,0,13,3,572
287,45473651,0,0,0,12,0,545
288,45483651,0,0,0,11,0,487
289,45493651,0,0,0,16,0,441
290,45503651,0,0,0,6,0,396
291,45513651,0,0,0,6,0,338
292,45523651,0,0,0,4,0,299
293,45533651,0,0,0,6,0,267
294,45543651,0,0,0,8,0,220
295,45553651,0,0,0,11,0,188
296,45563651,0,100,0,5,0,109
297,45573651,54,233,0,4,0,0
298,45583651,159,445,0,0,0,0
299,45593651,368,665,0,0,0,0
300,45603651,618,862,0,0,0,0
301,45613651,764,973,0,0,0,0
302,45623651,876,1055,0,0,0,0
303,45633651,949,1115,0,0,0,0
304,45643651,1014,1160,0,0,0,0
305,45653651,1063,1188,0,0,0,0
306,45663651,1089,1209,6,0,0,0
307,45673651,1109,1225,20,6,0,0
308,45683651,1127,1241,27,18,0,0
309,45693651,1142,1249,43,36,0,0
310,45703651,1158,1269,59,55,0,0
311,45713651,1172,1287,96,81,0,0
312,45723651,1185,1305,112,103,0,0
313,45733651,1196,1317,130,128,0,0
314,45743651,1212,1334,157,151,0,15
315,45753651,1232,1347,180,157,0,27
316,45763651,1252,1365,202,200,0,57
317,45773651,1269,1383,224,219,0,99
318,45783651,1285,1391,245,234,0,135
319,45793651,1299,1408,273,243,0,164
320,45803651,1312,1420,281,267,0,187
321,45813651,1324,1435,298,297,0,216
322,45823651,1338,1447,273,308,0,212
323,45833651,1356,1461,344,345,0,251
324,45843651,1367,1473,363,373,0,277
325,45853651,1375,1484,381,399,0,292
326,45863651,1384,1492,404,425,0,312
327,45873651,1401,1499,439,457,0,340
328,45883651,1397,1507,460,489,0,364
329,45893651,1402,1511,488,524,0,401
330,45903651,1406,1518,517,551,0,442
331,45913651,1415,1516,547,581,0,475
332,45923651,1419,1523,569,610,0,495
333,45933651,1422,1523,588,631,0,519
334,45943651,1427,1521,604,652,1,532
335,45953651,1389,1403,604,667,11,541
336,45963651,1434,1532,633,677,19,551
337,45973651,1437,1536,646,689,25,564
338,45983651,1436,1541,656,695,31,566
339,45993651,1447,1546,664,707,42,579
340,46003651,1447,1548,674,715,46,591
341,46013651,1451,1552,681,721,53,594
342,46023652,1456,1552,690,728,55,603
343,46033651,1459,1552,693,729,62,608
344,46043651,1460,1554,703,732,77,617
345,46053651,1461,1554,695,733,87,624
346,46063651,1461,1555,706,732,90,627
347,46073651,1461,1554,705,736,101,638
348,46083651,1463,1555,705,734,104,645
349,46093651,1458,1551,706,731,116,662
350,46103651,1457,1548,705,732,115,675
351,46113651,1455,1545,707,732,135,686
352,46123651,1453,1546,702,730,139,699
353,46133651,1454,1538,701,730,152,718
354,46143651,1454,1535,657,730,153,731
355,46153651,1371,1535,0,734,159,750
356,46163651,1453,1533,0,737,174,761
357,46173651,1453,1534,0,739,173,776
358,46183651,1461,1530,0,740,174,800
359,46193651,1454,1526,0,742,181,805
360,46203651,1449,1528,0,745,183,824
361,46213651,1454,1526,0,749,187,0
362,46223651,1449,1525,0,756,210,0
363,46233651,1447,1521,0,758,211,0
364,46243651,1446,1511,0,762,228,0
365,46253651,1446,1516,0,768,231,0
366,46263651,1443,1513,0,772,239,0
367,46273651,1441,1513,0,778,252,0
368,46283651,1439,1511,0,782,265,0
369,46293651,1431,1511,0,791,272,0
370,46303651,1433,1509,0,796,283,0
371,46313651,1429,1502,0,805,297,0
372,46323651,1428,1491,0,811,315,0
373,46333651,1418,1485,0,819,336,0
374,46343651,1413,1477,0,823,352,0
375,46353651,1399,1469,0,816,323,0
376,46363651,1398,1466,0,834,378,0
377,46373651,1395,1461,0,843,400,0
378,46383651,1388,1455,0,851,414,0
379,46393651,1382,1449,0,858,423,0
380,46403651,1374,1440,0,866,429,0
381,46413651,1368,1431,0,869,438,0
382,46423651,1339,1319,0,821,449,0
383,46433651,1354,1409,0,882,470,0
384,46443651,1338,1398,0,890,487,0
385,46453651,1329,1388,0,895,505,0
386,46463651,1318,1372,0,903,515,0
387,46473651,1303,1356,0,908,539,1136
388,46483651,1292,1337,0,916,558,1179
389,46493651,1269,1322,0,919,586,1209
390,46503651,1255,1301,0,923,596,1225
391,46513651,1234,1275,0,933,618,1246
392,46523651,1211,1252,0,940,627,1259
393,46533651,1191,1228,0,947,638,1279
394,46543651,1164,1201,0,961,638,1292
395,46553651,1128,1173,0,973,638,1309
396,46563651,1082,1126,0,983,646,1322
397,46573651,1021,1079,0,994,646,1329
398,46583651,965,1034,0,1005,661,1340
399,46593651,886,959,0,1012,663,1357
400,46603651,814,881,0,1019,667,1373
401,46613651,736,813,0,1021,672,1387
402,46623651,634,736,0,1034,666,1403
403,46633651,526,665,0,1036,651,1416
404,46643651,408,578,0,1040,638,1426
405,46653651,282,471,0,1036,614,1446
406,46663651,169,374,0,1040,576,1449
407,46673651,91,254,0,1037,560,1453
408,46683651,18,158,0,1037,536,1467
409,46693651,0,105,0,1033,502,1468
410,46703651,0,45,0,1023,466,1466
411,46713651,0,0,0,1016,428,1473
412,46723651,0,0,0,1001,390,1480
413,46733651,0,0,0,977,316,1485
414,46743651,0,0,0,947,231,1489
415,46753651,0,0,439,913,136,1440
416,46763651,0,0,423,757,59,1306
417,46773651,0,0,407,804,2,1325
418,46783651,0,0,407,764,0,1226
419,46793651,0,0,399,722,0,1307
420,46803651,0,0,373,677,0,1232
421,46813651,0,0,358,619,0,1135
422,46823651,0,0,332,571,0,1067
423,46833651,0,0,316,506,0,988
424,46843651,0,0,299,463,0,886
425,46853651,0,0,263,407,0,761
426,46863651,0,8,223,357,0,643
427,46873651,0,31,203,299,0,507
